Date,Open,High,Low,Close,Volume
Sat Mar  6 14:00:00 2021,47782.15,48491.95,47691.36,48282.95,89.01153521
Sat Mar  6 15:00:00 2021,48288.16,48648.68,48145.48,48505.9,66.90252693
Sat Mar  6 16:00:00 2021,48490.75,48699.98,48265.75,48368.0,80.40338572
Sat Mar  6 17:00:00 2021,48380.68,48752.93,48271.7,48564.26,118.65007679
Sat Mar  6 18:00:00 2021,48571.41,48748.5,48303.04,48600.0,78.40103174
Sat Mar  6 19:00:00 2021,48606.3,49200.0,48499.13,48951.49,85.6191002
Sat Mar  6 20:00:00 2021,48942.35,49143.24,48823.2,48904.63,64.29468857
Sat Mar  6 21:00:00 2021,48933.12,49329.61,48933.12,49214.7,85.589095
Sat Mar  6 22:00:00 2021,49239.78,49518.0,49030.0,49143.44,128.76258788
Sat Mar  6 23:00:00 2021,49214.79,49870.0,49109.55,49582.61,86.36552536
Sun Mar  7 00:00:00 2021,49636.96,49920.0,49484.74,49572.22,82.56210081
Sun Mar  7 01:00:00 2021,49590.37,49732.77,49307.67,49459.49,40.93300003
Sun Mar  7 02:00:00 2021,49442.72,49458.0,49133.24,49368.82,44.57802764
Sun Mar  7 03:00:00 2021,49375.43,49658.37,49159.57,49483.78,38.56362062
Sun Mar  7 04:00:00 2021,49483.78,50195.56,49337.84,50058.25,105.62049408
Sun Mar  7 05:00:00 2021,50117.01,50877.2,50096.68,50400.0,291.47388435
Sun Mar  7 06:00:00 2021,50385.51,51169.77,50383.41,50975.57,162.77460568
Sun Mar  7 07:00:00 2021,50947.94,50947.94,50440.73,50604.35,142.77119489
Sun Mar  7 08:00:00 2021,50573.2,50921.23,50478.1,50717.65,79.94860225
Sun Mar  7 09:00:00 2021,50720.15,50868.95,50409.83,50786.71,88.08973086
Sun Mar  7 10:00:00 2021,50798.12,50868.16,50537.62,50809.21,61.7879339
Sun Mar  7 11:00:00 2021,50797.03,51306.5,50169.57,50669.19,209.41142922
Sun Mar  7 12:00:00 2021,50669.19,50828.44,50381.24,50575.85,86.69362405
Sun Mar  7 13:00:00 2021,50575.85,51355.7,50575.85,51051.5,97.88062792
Sun Mar  7 14:00:00 2021,51051.5,51134.27,50775.98,51050.0,88.83693826
Sun Mar  7 15:00:00 2021,51074.22,51074.22,50350.0,50401.04,84.97728596
Sun Mar  7 16:00:00 2021,50409.58,50550.9,50235.62,50397.84,114.5178686
Sun Mar  7 17:00:00 2021,50321.5,50327.83,49744.54,50060.14,112.79352187
Sun Mar  7 18:00:00 2021,50060.14,50280.5,49851.57,50112.0,52.42285764
Sun Mar  7 19:00:00 2021,50080.0,50772.26,50013.98,50547.76,83.45378757
Sun Mar  7 20:00:00 2021,50517.31,51477.53,50500.4,50967.3,447.64156613
Sun Mar  7 21:00:00 2021,50952.55,51700.0,50852.59,51480.4,185.8876415
Sun Mar  7 22:00:00 2021,51489.45,51834.49,51232.5,51571.4,101.5748445
Sun Mar  7 23:00:00 2021,51550.0,51621.2,50509.49,50748.3,183.15583772
Mon Mar  8 00:00:00 2021,50724.65,50819.14,50271.6,50608.16,125.99824011
Mon Mar  8 01:00:00 2021,50609.07,50609.07,50161.09,50483.7,51.10154272
Mon Mar  8 02:00:00 2021,50496.58,50847.95,50391.71,50804.23,111.5443286
Mon Mar  8 03:00:00 2021,50808.38,50983.68,50196.99,50306.59,133.72190978
Mon Mar  8 04:00:00 2021,50293.05,50467.16,49569.94,49800.0,159.60345998
Mon Mar  8 05:00:00 2021,49797.43,49924.67,49316.98,49918.96,232.6378469
Mon Mar  8 06:00:00 2021,49918.96,50128.96,49413.19,49915.52,185.23444349
Mon Mar  8 07:00:00 2021,49919.31,50319.04,49710.62,50102.58,218.18895906
Mon Mar  8 08:00:00 2021,50095.31,50601.29,49929.02,50507.95,153.60677825
Mon Mar  8 09:00:00 2021,50542.74,50601.12,50140.0,50268.1,139.82550076
Mon Mar  8 10:00:00 2021,50300.11,51087.93,50283.66,50999.7,228.5330185
Mon Mar  8 11:00:00 2021,51004.68,51250.0,50174.03,50751.06,273.18335264
Mon Mar  8 12:00:00 2021,50773.56,51273.87,50560.63,51105.39,250.13772301
Mon Mar  8 13:00:00 2021,51127.82,51240.55,50590.0,50682.18,218.18184098
Mon Mar  8 14:00:00 2021,50687.51,50892.08,50644.59,50836.07,148.78347821
Mon Mar  8 15:00:00 2021,50843.28,51096.74,50725.0,50793.13,192.43107773
Mon Mar  8 16:00:00 2021,50806.23,51499.0,50806.23,51351.43,237.98182094
Mon Mar  8 17:00:00 2021,51361.69,51998.0,51253.03,51792.7,195.73611445
Mon Mar  8 18:00:00 2021,51814.92,51950.16,51543.27,51865.52,199.84843692
Mon Mar  8 19:00:00 2021,51886.91,51923.91,51409.42,51628.9,158.83817869
Mon Mar  8 20:00:00 2021,51628.9,52427.8,51628.9,52427.8,333.82475888
Mon Mar  8 21:00:00 2021,52427.8,52555.0,51857.0,52027.83,180.96925005
Mon Mar  8 22:00:00 2021,52061.89,53734.33,52035.16,53524.3,452.36793479
Mon Mar  8 23:00:00 2021,53584.1,53779.0,53260.5,53598.88,213.2513518
Tue Mar  9 00:00:00 2021,53605.76,54171.2,53465.28,53898.28,558.00181583
Tue Mar  9 01:00:00 2021,53903.33,54093.33,53535.88,53703.08,169.93882953
Tue Mar  9 02:00:00 2021,53726.57,54445.22,53726.57,54321.69,298.48489412
Tue Mar  9 03:00:00 2021,54295.25,54500.0,53757.67,53845.8,261.98770015
Tue Mar  9 04:00:00 2021,53853.52,53891.25,53433.1,53549.75,196.06417347
Tue Mar  9 05:00:00 2021,53579.55,54193.53,53310.51,54058.35,199.53868414
Tue Mar  9 06:00:00 2021,54059.19,54319.02,53910.41,54143.42,191.12243875
Tue Mar  9 07:00:00 2021,54143.42,54399.99,53925.64,54178.73,221.55711328
Tue Mar  9 08:00:00 2021,54160.2,54300.0,53939.0,54252.43,113.05863647
Tue Mar  9 09:00:00 2021,54255.65,54255.65,53540.0,53758.85,202.86573896
Tue Mar  9 10:00:00 2021,53734.02,54820.0,53661.79,54820.0,282.3962348
Tue Mar  9 11:00:00 2021,54753.4,54786.77,54412.72,54475.97,407.28265617
Tue Mar  9 12:00:00 2021,54508.58,54562.99,53910.0,54106.57,176.51541881
Tue Mar  9 13:00:00 2021,54107.34,54353.37,53787.32,54108.69,162.9608708
Tue Mar  9 14:00:00 2021,54108.69,54300.15,53772.52,53810.26,168.13868889
Tue Mar  9 15:00:00 2021,53799.15,54078.79,53619.2,53923.77,150.62651236
Tue Mar  9 16:00:00 2021,53906.93,54250.0,53803.68,54140.67,175.37235147
Tue Mar  9 17:00:00 2021,54117.43,54590.0,54068.84,54377.22,104.82939114
Tue Mar  9 18:00:00 2021,54372.42,54576.45,53904.63,54333.84,226.76231495
Tue Mar  9 19:00:00 2021,54330.39,54888.0,54185.15,54835.87,155.22773355
Tue Mar  9 20:00:00 2021,54846.0,54939.26,54532.94,54929.02,159.57150971
Tue Mar  9 21:00:00 2021,54927.29,55811.4,54842.6,55551.19,483.66056452
Tue Mar  9 22:00:00 2021,55556.2,55855.0,54493.07,54715.87,225.7858094
Tue Mar  9 23:00:00 2021,54715.87,54715.87,53300.0,53920.42,394.24090214
Wed Mar 10 00:00:00 2021,53951.98,54137.0,53144.12,53474.83,208.5609691
Wed Mar 10 01:00:00 2021,53445.43,53818.73,53321.81,53640.57,124.16781293
Wed Mar 10 02:00:00 2021,53644.58,53698.72,53010.0,53684.64,153.7687289
Wed Mar 10 03:00:00 2021,53685.46,54102.78,53550.0,53881.68,96.46899365
Wed Mar 10 04:00:00 2021,53888.09,54503.24,53880.55,54212.31,235.42425842
Wed Mar 10 05:00:00 2021,54235.01,54768.5,54111.91,54685.17,154.83355162
Wed Mar 10 06:00:00 2021,54691.78,55408.08,54351.15,55237.04,209.27717115
Wed Mar 10 07:00:00 2021,55237.44,55358.42,54700.0,54821.6,187.52206759
Wed Mar 10 08:00:00 2021,54844.23,55000.0,54525.63,54855.34,84.95815692
Wed Mar 10 09:00:00 2021,54852.72,55499.99,54836.23,55190.93,137.84377
Wed Mar 10 10:00:00 2021,55228.75,56353.0,55140.03,56301.54,461.86650037
Wed Mar 10 11:00:00 2021,56310.0,56431.79,55803.79,56159.84,663.78728492
Wed Mar 10 12:00:00 2021,56174.52,56514.58,56009.13,56409.71,342.25599461
Wed Mar 10 13:00:00 2021,56419.03,57142.83,56115.23,57040.0,351.00583557
Wed Mar 10 14:00:00 2021,57040.0,57164.53,56296.89,56882.26,394.19048309
Wed Mar 10 15:00:00 2021,56943.91,57138.76,56596.94,56727.25,207.31486073
Wed Mar 10 16:00:00 2021,56727.25,57402.89,56614.95,56749.9,221.45880834
Wed Mar 10 17:00:00 2021,56736.11,56920.8,56010.01,56200.0,685.50807686
Wed Mar 10 18:00:00 2021,56200.0,57045.83,55494.69,56898.5,413.8302388
Wed Mar 10 19:00:00 2021,56917.91,57207.33,56453.3,56922.86,259.79733521
Wed Mar 10 20:00:00 2021,56908.5,56950.0,55819.57,55852.29,218.7500064
Wed Mar 10 21:00:00 2021,55918.09,56490.04,55486.71,55603.03,279.69940067
Wed Mar 10 22:00:00 2021,55598.14,55918.52,55064.47,55810.44,338.88079353
Wed Mar 10 23:00:00 2021,55787.74,56301.0,55641.71,56301.0,99.25257436
Thu Mar 11 00:00:00 2021,56317.21,56457.6,55590.11,55983.07,125.05303758
